Timestamp_us,Task,Event
2177480,1,S
2177745,2,S
2177927,3,S
2188561,4,S
2198028,4,E
2208035,3,E
2209002,5,S
2239035,2,E
2240028,1,E
2287039,5,E
2387763,4,S
2398035,4,E
2477763,3,S
2498032,3,E
2587763,4,S
2598035,4,E
2677763,2,S
2708029,2,E
2777763,3,S
2787763,4,S
2798034,4,E
2798860,3,E
2908764,5,S
2936035,5,E
2987763,4,S
2998035,4,E
3077763,3,S
3098032,3,E
3176763,1,S
3177763,2,S
3187763,4,S
3198035,4,E
3208036,2,E
3227037,1,E
3377763,3,S
3387763,4,S
3398034,4,E
3398860,3,E
3587763,4,S
3598035,4,E
3608764,5,S
3637035,5,E
3677763,3,S
3698035,3,E
3698826,2,S
3729029,2,E
3787763,4,S
3798035,4,E
3977763,3,S
3987763,4,S
3998031,4,E
3998845,3,E
4176763,1,S
4177763,2,S
4187763,4,S
4198029,4,E
4208034,2,E
4227029,1,E
4277763,3,S
4298029,3,E
4308764,5,S
4338035,5,E
4387763,4,S
4398035,4,E
4577763,3,S
4587763,4,S
4598037,4,E
4598834,3,E
4677763,2,S
4708029,2,E
4787763,4,S
4798035,4,E
4877763,3,S
4898029,3,E
4987763,4,S
4998035,4,E
5008764,5,S
5039028,5,E
5176763,1,S
5177763,3,S
5187763,4,S
5198035,4,E
5198826,3,E
5199571,2,S
5229037,2,E
5229854,1,E
5387763,4,S
5398035,4,E
5477763,3,S
5498029,3,E
5587763,4,S
5598035,4,E
5677763,2,S
5708029,2,E
5708765,5,S
5740028,5,E
5777763,3,S
5787763,4,S
5798037,4,E
5799238,3,E
5987763,4,S
5998035,4,E
6077763,3,S
6098029,3,E
6176763,1,S
6177763,2,S
6187763,4,S
6198035,4,E
6208036,2,E
6227031,1,E
6377763,3,S
6387763,4,S
6398037,4,E
6399113,3,E
6408764,5,S
6441030,5,E
6587763,4,S
6598035,4,E
6677763,3,S
6698036,3,E
6698811,2,S
6729036,2,E
6787763,4,S
6798035,4,E
6977763,3,S
6987763,4,S
6998037,4,E
6999113,3,E
7108764,5,S
7142035,5,E
7176763,1,S
7177763,2,S
7187763,4,S
7198035,4,E
7208027,2,E
7227029,1,E
7277763,3,S
7298029,3,E
7387763,4,S
7398035,4,E
7577763,3,S
7587763,4,S
7598037,4,E
7599113,3,E
7677763,2,S
7708028,2,E
7787763,4,S
7798035,4,E
7808764,5,S
7843029,5,E
7877763,3,S
7898029,3,E
7987763,4,S
7998035,4,E
8176763,1,S
8177763,3,S
8187763,4,S
8198035,4,E
8198826,3,E
8199571,2,S
8229034,2,E
8230122,1,E
8387763,4,S
8398035,4,E
8477763,3,S
8498029,3,E
8508764,5,S
8544029,5,E
8587763,4,S
8598035,4,E
8677763,2,S
8708028,2,E
8777763,3,S
8787763,4,S
8798037,4,E
8799113,3,E
8987763,4,S
8998035,4,E
9077763,3,S
9098029,3,E
9176763,1,S
9177763,2,S
9187763,4,S
9198029,4,E
9208036,2,E
9208764,5,S
9235037,5,E
9235851,1,E
9377763,3,S
9387763,4,S
9398037,4,E
9399113,3,E
9587763,4,S
9598035,4,E
9677763,3,S
9698035,3,E
9698826,2,S
9729035,2,E
9787763,4,S
9798035,4,E
9908764,5,S
9936035,5,E
9977763,3,S
9987763,4,S
9998037,4,E
9999113,3,E
10176763,1,S
10177763,2,S
10187763,4,S
10198029,4,E
10208035,2,E
10227031,1,E
10277763,3,S
10298036,3,E
10387763,4,S
10398036,4,E
10577763,3,S
10587763,4,S
10598036,4,E
10598841,3,E
10608764,5,S
10637039,5,E
10677763,2,S
10708030,2,E
10787763,4,S
10798036,4,E
10877763,3,S
10898036,3,E
10987763,4,S
10998036,4,E
11176763,1,S
11177763,3,S
11187763,4,S
11198031,4,E
11198810,3,E
11199545,2,S
11229039,2,E
11229847,1,E
11308764,5,S
11338028,5,E
